Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-06-22T15:00:00.000Z,3177.0,3184.0,3136.0,3159.0,18077100,0.0,0.0,6758.T,NA,NA,JPY
2026-06-23T15:00:00.000Z,3217.0,3267.0,3183.0,3250.0,19994500,0.0,0.0,6758.T,NA,NA,JPY
2026-06-24T15:00:00.000Z,3232.0,3258.0,3197.0,3197.0,19028900,0.0,0.0,6758.T,NA,NA,JPY
2026-06-25T15:00:00.000Z,3150.0,3199.0,3120.0,3199.0,19829700,0.0,0.0,6758.T,NA,NA,JPY
2026-06-28T15:00:00.000Z,3216.0,3308.0,3200.0,3299.0,37242200,0.0,0.0,6758.T,NA,NA,JPY
2026-06-29T15:00:00.000Z,3312.0,3319.0,3261.0,3280.0,19350900,0.0,0.0,6758.T,NA,NA,JPY
2026-06-30T15:00:00.000Z,3280.0,3340.0,3230.0,3250.0,20084900,0.0,0.0,6758.T,NA,NA,JPY
2026-07-01T15:00:00.000Z,3315.0,3400.0,3296.0,3330.0,19252900,0.0,0.0,6758.T,NA,NA,JPY
2026-07-02T15:00:00.000Z,3390.0,3497.0,3364.0,3380.0,22702600,0.0,0.0,6758.T,NA,NA,JPY
2026-07-05T15:00:00.000Z,3390.0,3422.0,3347.0,3422.0,12783400,0.0,0.0,6758.T,NA,NA,JPY
2026-07-06T15:00:00.000Z,3415.0,3516.0,3411.0,3502.0,21078700,0.0,0.0,6758.T,NA,NA,JPY
2026-07-07T15:00:00.000Z,3502.0,3549.0,3467.0,3468.0,15801000,0.0,0.0,6758.T,NA,NA,JPY
2026-07-08T15:00:00.000Z,3398.0,3432.0,3385.0,3409.0,15472900,0.0,0.0,6758.T,NA,NA,JPY
2026-07-09T15:00:00.000Z,3409.0,3410.0,3337.0,3359.0,17008800,0.0,0.0,6758.T,NA,NA,JPY
2026-07-12T15:00:00.000Z,3374.0,3384.0,3306.0,3341.0,10860400,0.0,0.0,6758.T,NA,NA,JPY
2026-07-13T15:00:00.000Z,3367.0,3424.0,3361.0,3383.0,13640700,0.0,0.0,6758.T,NA,NA,JPY
2026-07-14T15:00:00.000Z,3380.0,3390.0,3335.0,3389.0,12717000,0.0,0.0,6758.T,NA,NA,JPY
2026-07-15T15:00:00.000Z,3400.0,3450.0,3375.0,3438.0,14759800,0.0,0.0,6758.T,NA,NA,JPY
2026-07-16T15:00:00.000Z,3438.0,3510.0,3422.0,3470.0,22560200,0.0,0.0,6758.T,NA,NA,JPY
